job_id,candidate_id,relevance,graded_by,graded_on
JD-001,SDB_10001,3,recruiter_a,2026-08-10
JD-001,SDB_10002,1,recruiter_a,2026-08-10
JD-001,SDB_10004,0,recruiter_a,2026-08-10
JD-001,SDB_10005,0,recruiter_a,2026-08-10
JD-001,SDB_10006,1,recruiter_a,2026-08-10
JD-001,SDB_10007,1,recruiter_a,2026-08-10
JD-001,SDB_10009,2,recruiter_a,2026-08-10
JD-001,SDB_10010,0,recruiter_a,2026-08-10
JD-001,SDB_10012,0,recruiter_a,2026-08-10
JD-001,SDB_10013,2,recruiter_a,2026-08-10
JD-001,SDB_10014,1,recruiter_a,2026-08-10
JD-001,SDB_10017,1,recruiter_a,2026-08-10
JD-001,SDB_10019,0,recruiter_a,2026-08-10
JD-001,SDB_10022,3,recruiter_a,2026-08-10
JD-001,SDB_10023,0,recruiter_a,2026-08-10
JD-001,SDB_10025,2,recruiter_a,2026-08-10
JD-002,SDB_10001,1,recruiter_a,2026-08-10
JD-002,SDB_10002,3,recruiter_a,2026-08-10
JD-002,SDB_10004,0,recruiter_a,2026-08-10
JD-002,SDB_10005,0,recruiter_a,2026-08-10
JD-002,SDB_10007,3,recruiter_a,2026-08-10
JD-002,SDB_10008,0,recruiter_a,2026-08-10
JD-002,SDB_10010,0,recruiter_a,2026-08-10
JD-002,SDB_10011,1,recruiter_a,2026-08-10
JD-002,SDB_10012,0,recruiter_a,2026-08-10
JD-002,SDB_10014,2,recruiter_a,2026-08-10
JD-002,SDB_10015,3,recruiter_a,2026-08-10
JD-002,SDB_10019,0,recruiter_a,2026-08-10
JD-002,SDB_10020,1,recruiter_a,2026-08-10
JD-002,SDB_10023,0,recruiter_a,2026-08-10
JD-002,SDB_10024,2,recruiter_a,2026-08-10
JD-003,SDB_10001,1,recruiter_a,2026-08-10
JD-003,SDB_10002,1,recruiter_a,2026-08-10
JD-003,SDB_10003,3,recruiter_a,2026-08-10
JD-003,SDB_10004,1,recruiter_a,2026-08-10
JD-003,SDB_10008,0,recruiter_a,2026-08-10
JD-003,SDB_10010,0,recruiter_a,2026-08-10
JD-003,SDB_10011,3,recruiter_a,2026-08-10
JD-003,SDB_10012,0,recruiter_a,2026-08-10
JD-003,SDB_10016,1,recruiter_a,2026-08-10
JD-003,SDB_10018,2,recruiter_a,2026-08-10
JD-003,SDB_10019,0,recruiter_a,2026-08-10
JD-003,SDB_10021,3,recruiter_a,2026-08-10
JD-003,SDB_10022,2,recruiter_a,2026-08-10
JD-003,SDB_10023,0,recruiter_a,2026-08-10
JD-004,SDB_10001,0,recruiter_a,2026-08-10
JD-004,SDB_10002,0,recruiter_a,2026-08-10
JD-004,SDB_10003,0,recruiter_a,2026-08-10
JD-004,SDB_10005,0,recruiter_a,2026-08-10
JD-004,SDB_10006,1,recruiter_a,2026-08-10
JD-004,SDB_10010,0,recruiter_a,2026-08-10
JD-004,SDB_10012,3,recruiter_a,2026-08-10
JD-004,SDB_10014,1,recruiter_a,2026-08-10
JD-004,SDB_10017,2,recruiter_a,2026-08-10
JD-004,SDB_10023,0,recruiter_a,2026-08-10
